distance_A,ansatz,mapper,optimizer,exact_total_hartree,vqe_total_hartree,abs_error_hartree,iterations,elapsed_s
0.735,uccsd,jordan_wigner,slsqp,-1.1373060358,-1.1373060302,5.5905320373e-09,57,2.9135
0.735,uccsd,jordan_wigner,cobyla,-1.1373060358,-1.1373060269,8.8989566827e-09,64,3.0343
0.735,uccsd,parity,slsqp,-1.1373060358,-1.1373060142,2.1539128259e-08,33,1.5628
0.735,uccsd,parity,cobyla,-1.1373060358,-1.1373060152,2.0580920523e-08,52,2.5853
0.735,uccsd,bravyi_kitaev,slsqp,-1.1373060358,-1.1373060258,9.9550132582e-09,29,1.3580
0.735,uccsd,bravyi_kitaev,cobyla,-1.1373060358,-1.1373060332,2.5845836582e-09,64,3.0861
0.735,puccsd,jordan_wigner,slsqp,-1.1373060358,-1.1373057549,2.8082498327e-07,14,0.4896
0.735,puccsd,jordan_wigner,cobyla,-1.1373060358,-1.1373060199,1.5861285618e-08,43,1.3881
0.735,puccsd,parity,slsqp,-1.1373060358,-1.1373060293,6.4794156707e-09,22,0.7687
0.735,puccsd,parity,cobyla,-1.1373060358,-1.1373060160,1.9790470596e-08,37,1.2056
0.735,puccsd,bravyi_kitaev,slsqp,-1.1373060358,-1.1373057391,2.9667770951e-07,25,0.8368
0.735,puccsd,bravyi_kitaev,cobyla,-1.1373060358,-1.1373060049,3.0851612376e-08,40,1.3925
0.735,puccd,jordan_wigner,slsqp,-1.1373060358,-1.1373059943,4.1439005116e-08,9,0.1653
0.735,puccd,jordan_wigner,cobyla,-1.1373060358,-1.1373060076,2.8148949394e-08,22,0.4397
0.735,puccd,parity,slsqp,-1.1373060358,-1.1373060357,2.7772006916e-11,16,0.2963
0.735,puccd,parity,cobyla,-1.1373060358,-1.1373060162,1.9534224460e-08,24,0.4789
0.735,puccd,bravyi_kitaev,slsqp,-1.1373060358,-1.1373060358,1.0436096431e-13,11,0.2237
0.735,puccd,bravyi_kitaev,cobyla,-1.1373060358,-1.1373060127,2.3087210810e-08,21,0.4102
